data;pstrat;workflow;no_class;similar;algorithm;repr;stop;stem;spar;info;accuracy;a3r;no.terms;time
n1;p1;w4;2;0;knn;tf_idf;none;none;0.99;none;0.852126301;0.762347319;1946;85.91
n1;p1;w8;2;0;ranger;tf_idf;none;none;0.99;none;0.960511768;0.875465119;1946;40.79
n1;p1;w3;2;0;JRip;tf_idf;none;none;0.99;none;0.865144174;0.772262439;1946;93.96
n1;p1;w7;2;0;svmLinear2;tf_idf;none;none;0.99;none;0.972356481;0.883315529;1946;46.6
n1;p1;w2;2;0;J48;tf_idf;none;none;0.99;none;0.873600282;0.783006586;1946;79.78
n1;p1;w1;2;0;nnet;tf_idf;none;none;0.99;none;0.975725928;0.882683419;1946;55.07
n1;p1;w6;2;0;lda;tf_idf;none;none;0.99;none;0.810603398;0.726987518;1946;77.85
n1;p1;w5;2;0;C5.0Tree;tf_idf;none;none;0.99;none;0.875860178;0.784058558;1946;83.84
n1;p10;w76;2;0;knn;tf_idf;default;none;0.99;>0;0.93680207;0.854149893;458;40.23
n1;p10;w80;2;0;ranger;tf_idf;default;none;0.99;>0;0.963332191;0.880855686;458;35.88
n1;p10;w75;2;0;JRip;tf_idf;default;none;0.99;>0;0.891107406;0.814111718;458;37.14
n1;p10;w79;2;0;svmLinear2;tf_idf;default;none;0.99;>0;0.957674829;0.881057554;458;28.09
n1;p10;w74;2;0;J48;tf_idf;default;none;0.99;>0;0.884327765;0.810812128;458;32.19
n1;p10;w73;2;0;nnet;tf_idf;default;none;0.99;>0;0.965572975;0.888458643;458;27.92
n1;p10;w78;2;0;lda;tf_idf;default;none;0.99;>0;0.945832681;0.869499531;458;28.96
n1;p10;w77;2;0;C5.0Tree;tf_idf;default;none;0.99;>0;0.8860093;0.80795427;458;40
n1;p11;w84;2;0;knn;tf_idf;default;none;0.98;none;0.854393846;0.780041848;855;38.16
n1;p11;w88;2;0;ranger;tf_idf;default;none;0.98;none;0.965020103;0.888456711;855;27.29
n1;p11;w83;2;0;JRip;tf_idf;default;none;0.98;none;0.883207989;0.807834846;855;35.45
n1;p11;w87;2;0;svmLinear2;tf_idf;default;none;0.98;none;0.949204699;0.880944878;855;19.79
n1;p11;w82;2;0;J48;tf_idf;default;none;0.98;none;0.865717434;0.797208612;855;27.05
n1;p11;w81;2;0;nnet;tf_idf;default;none;0.98;none;0.9587933;0.889070994;855;20.49
n1;p11;w86;2;0;lda;tf_idf;default;none;0.98;none;0.887683214;0.821558285;855;22.12
n1;p11;w85;2;0;C5.0Tree;tf_idf;default;none;0.98;none;0.864570914;0.788622591;855;39.56
n1;p12;w92;2;0;knn;tf_idf;default;none;0.98;>0;0.903487185;0.830005889;467;29.76
n1;p12;w96;2;0;ranger;tf_idf;default;none;0.98;>0;0.965584432;0.890678211;467;25.28
n1;p12;w91;2;0;JRip;tf_idf;default;none;0.98;>0;0.892238651;0.819582893;467;29.89
n1;p12;w95;2;0;svmLinear2;tf_idf;default;none;0.98;>0;0.955983097;0.88946505;467;17.9
n1;p12;w90;2;0;J48;tf_idf;default;none;0.98;>0;0.86966014;0.804544052;467;22.49
n1;p12;w89;2;0;nnet;tf_idf;default;none;0.98;>0;0.968395934;0.901407799;467;17.59
n1;p12;w94;2;0;lda;tf_idf;default;none;0.98;>0;0.954846797;0.887723881;467;18.46
n1;p12;w93;2;0;C5.0Tree;tf_idf;default;none;0.98;>0;0.875294561;0.804234958;467;29.57
n1;p13;w100;2;0;knn;tf_idf;default;simple;0.99;none;0.85832761;0.769204749;1655;80.25
