setup_id,2,3,6,11,12,14,15,16,18,20,21,22,23,24,26,28,29,30,31,32,33,36,37,41,43,45,49,53,58,219,2068,2073,2074,2075,2076,2077,2079
6035,0.9409363,0.940864,0.96015,0.8767283,0.966,0.831,0.9570808,0.965,0.663,0.956,0.9346117,0.791,0.465035,0.9901514,0.9704476,0.985587,0.8246377,0.9563295,0.702,0.9916307,0.7018517,0.9722944,0.6952839,0.8962064,0.911327,0.8056426,0.8026755,0.6417647,0.7936,0.6991304,0.995327,0.5242791,0.899378,0.1893624,0.7286135,0.9231344,0.4537023
6036,0.6235332,0.9220798,0.65525,0.9071942,0.945,0.785,0.9613667,0.938,0.6935,0.93,0.8535958,0.7425,0.5485339,0.9852281,0.9023148,0.9165478,0.7521737,0.9455491,0.729,0.8346081,0.6222224,0.8645023,0.7642517,0.9225275,0.7926549,0.9583072,0.7233552,0.4751961,0.8002,0.7243778,0.9925057,0.5761155,0.7940901,0.2470689,0.3605996,0.8597015,0.5678268
6037,0.9242072,0.9411765,0.95845,0.8143883,0.9695,0.8465,0.9699381,0.9595,0.7005,0.946,0.954846,0.7635,0.480649,0.9901514,0.9748458,0.9823844,0.8420288,0.9746027,0.707,0.9904478,0.6259261,0.9844156,0.7382777,0.9297954,0.9428416,0.9630096,0.8109867,0.7056442,0.85,0.8018844,0.995327,0.5997508,0.9166408,0.2315056,0.6975329,0.9335822,0.5815067
6038,0.8363169,0.9380515,0.656,0.9071942,0.9435,0.7855,0.9599381,0.938,0.656,0.93,0.8535958,0.743,0.5349742,0.9862129,0.9403549,0.9129892,0.7811595,0.9435383,0.732,0.9059323,0.5925927,0.8584417,0.7733768,0.9225275,0.6694176,0.9583072,0.7233552,0.4858404,0.7998,0.6799714,0.9915711,0.4036732,0.7956455,0.2449135,0.3605996,0.9067165,0.5691597
6039,0.885306,0.940864,0.84845,0.7744242,0.873,0.7585,0.9513458,0.7735,0.7135,0.741,0.88483,0.706,0.5383664,0.9901514,0.9544752,0.8957296,0.8507245,0.9661978,0.729,0.9527839,0.5777778,0.9606061,0.7357145,0.8564152,0.9226323,0.9238244,0.7410197,0.6713445,0.7726,0.7817575,0.995327,0.5707192,0.8625194,0.2504206,0.5516826,0.9380599,0.4769161
6246,0.7616982,0.5222159,0.04065,0.4575779,0.1,0.1,0.6552175,0.1,0.1,0.1,0.7002352,0.1,0.4270223,0.5179714,0.333333,0.101423,0.5550726,0.8976791,0.7,0.103712,0.5777778,0.142857,0.6510598,0.1346762,0.6059556,0.5188085,0.653443,0.2552944,0.3384,0.5754546,0.995327,0.3119945,0.2381025,0.1649515,0.1622826,0.9067165,0.290744
6247,0.8363169,0.6745934,0.172,0.5839991,0.389,0.3855,0.9155694,0.3005,0.4765,0.232,0.7002352,0.269,0.4793207,0.9852281,0.7097222,0.2658362,0.8550724,0.9380598,0.69,0.3900107,0.774074,0.640693,0.7121328,0.3821825,0.7835324,0.6335422,0.6993532,0.522479,0.5338,0.7598204,0.9943836,0.4002856,0.5964231,0.2393985,0.2479678,0.9179104,0.5828582
6248,0.8363169,0.938362,0.0709,0.721659,0.1965,0.197,0.9513459,0.1945,0.1995,0.193,0.7002352,0.196,0.4270223,0.9852281,0.6625002,0.197509,0.8550724,0.9313008,0.723,0.2041485,0.6796299,0.285714,0.7498976,0.2795611,0.9015505,0.8633228,0.7087828,0.394832,0.657,0.7607476,0.995327,0.4070062,0.4373249,0.2109135,0.1915808,0.9067165,0.4850425
6249,0.9008615,0.9405515,0.90005,0.8464672,0.938,0.81,0.9585094,0.8735,0.7085,0.8445,0.9253529,0.7235,0.5377092,0.9901514,0.963503,0.9398577,0.8594203,0.9731418,0.742,0.9749821,0.5685185,0.9727273,0.7342961,0.8653239,0.9326285,0.943887,0.7744627,0.6819608,0.8254,0.7944913,0.995327,0.5909669,0.8897356,0.2408407,0.5837609,0.9350747,0.5298038
