"setup_id","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
"1",200.122448979592,201.510204081633,201.34693877551,199.857142857143,201.040816326531,200.428571428571,199.612244897959,199.979591836735,199.469387755102,199.122448979592,205.408163265306,201.469387755102,204.061224489796,199.489795918367,204.775510204082,199.591836734694,204.34693877551,199.979591836735,201.020408163265,206,200.163265306122,199.34693877551,198.877551020408,205.265306122449,205.979591836735,204.816326530612,204.020408163265,201.979591836735,202.102040816327,203.551020408163,201.551020408163,201.571428571429,199.224489795918,203.285714285714,205.244897959184,205.448979591837,203.448979591837,206.448979591837,203.244897959184,205.734693877551,205.061224489796,205.326530612245,204.285714285714,204.489795918367,203.69387755102,201.489795918367,201.428571428571,205.224489795918,202.65306122449,205.408163265306
"2",163.714285714286,163.591836734694,161.938775510204,162.387755102041,163.591836734694,162.877551020408,162.551020408163,162.612244897959,163.530612244898,162.34693877551,161.612244897959,163.428571428571,161.632653061224,163.061224489796,162.244897959184,163.979591836735,160.530612244898,164.469387755102,163.632653061224,160.857142857143,161.816326530612,162.65306122449,162.857142857143,162.918367346939,161.244897959184,161.530612244898,162.387755102041,160.285714285714,160.857142857143,161.795918367347,161.102040816327,162.959183673469,162.938775510204,162.734693877551,161.836734693878,162.551020408163,161.734693877551,160.510204081633,161.714285714286,161.122448979592,162.142857142857,161.714285714286,161.387755102041,161.979591836735,161.285714285714,162.918367346939,161.714285714286,162.530612244898,162.714285714286,160.469387755102
"3",35.2244897959184,35.2244897959184,33.4489795918367,34.3469387755102,35.3469387755102,35.3673469387755,35.1632653061224,35.3061224489796,35.3673469387755,35.5102040816327,34.530612244898,35.3061224489796,34.9183673469388,34.8571428571429,34.2448979591837,35.3469387755102,34.5510204081633,34.3673469387755,35.3877551020408,35.1428571428571,35.3061224489796,35.1428571428571,34.9387755102041,35.1020408163265,34.9183673469388,35.265306122449,35.3265306122449,35.2244897959184,34.9387755102041,34.9387755102041,34.6530612244898,35.4897959183673,34.8775510204082,34.9387755102041,35.2448979591837,34.469387755102,35.5918367346939,34.530612244898,35.4489795918367,35.2244897959184,35.2244897959184,35.1836734693878,35.2040816326531,35.2244897959184,35.2244897959184,35.6326530612245,34.8979591836735,34.1632653061224,33.9183673469388,33.7959183673469
"4",129.673469387755,130.081632653061,127.489795918367,129.040816326531,129.591836734694,129.857142857143,129.612244897959,129.122448979592,129.30612244898,129.448979591837,128.204081632653,129.877551020408,128.897959183673,129.387755102041,127.938775510204,129.836734693878,128.30612244898,127.510204081633,130.551020408163,127.795918367347,130.285714285714,129.040816326531,128.755102040816,127.979591836735,127.469387755102,127.448979591837,128.591836734694,128.224489795918,129.775510204082,129.530612244898,129.469387755102,130.122448979592,130.061224489796,130.448979591837,128,129.224489795918,128.224489795918,127.30612244898,128.224489795918,128.326530612245,128.510204081633,128.591836734694,128.204081632653,128.755102040816,127.591836734694,130.326530612245,130.183673469388,129.591836734694,130.632653061224,129.571428571429
"5",78.9795918367347,79.0612244897959,79.0612244897959,78.734693877551,78.6326530612245,79.1020408163265,79.0612244897959,78.5714285714286,79.2040816326531,78.9591836734694,77.8979591836735,78.8979591836735,78.265306122449,79.1224489795918,75.734693877551,79.0816326530612,79.2244897959184,79.0408163265306,78.5714285714286,74.5102040816327,78.6326530612245,79.1020408163265,79.0612244897959,72.4081632653061,75.3469387755102,76.9183673469388,78.6122448979592,78.8163265306122,78.7142857142857,79.0204081632653,79.1836734693878,78.2244897959184,77.7959183673469,77.1224489795918,76.265306122449,79.1020408163265,74.1020408163265,75.8571428571429,74.1224489795918,76.0408163265306,75.6938775510204,76.3877551020408,75.4081632653061,78.0612244897959,76.9387755102041,72.0204081632653,78.9183673469388,78.8163265306122,78.8775510204082,78.7142857142857
"6",208.65306122449,208.897959183673,208.734693877551,209.326530612245,210.163265306122,210.142857142857,208.65306122449,208.938775510204,208.775510204082,208.530612244898,208,211.224489795918,208.857142857143,210.020408163265,208.102040816327,208.612244897959,209.816326530612,209.326530612245,212.183673469388,210.428571428571,210.734693877551,209.775510204082,208.65306122449,214.469387755102,213.755102040816,214.571428571429,213.734693877551,212.571428571429,213.020408163265,213.897959183673,212.387755102041,210.142857142857,208.469387755102,211.714285714286,214.591836734694,209.591836734694,214.163265306122,213.020408163265,213.448979591837,214.69387755102,214,214.469387755102,214.081632653061,213,213.204081632653,211.224489795918,212.510204081633,209.775510204082,215.020408163265,211.918367346939
"7",319.69387755102,318.612244897959,318.183673469388,318.775510204082,319.285714285714,318.816326530612,318.612244897959,319.591836734694,319.551020408163,320,318.326530612245,318.510204081633,318.816326530612,319.714285714286,318.204081632653,320.367346938775,318.204081632653,318.224489795918,318.30612244898,318.061224489796,318.591836734694,319.040816326531,318.102040816327,320.285714285714,319,320.979591836735,319.979591836735,319.204081632653,318.510204081633,319.326530612245,319.673469387755,318.795918367347,318.734693877551,318.612244897959,322.530612244898,319.326530612245,320.387755102041,318.612244897959,319.734693877551,321.551020408163,320.224489795918,319.897959183673,320.163265306122,319.979591836735,319.408163265306,320.551020408163,318.183673469388,318.387755102041,318.224489795918,318.142857142857
"8",261.959183673469,262.959183673469,263.857142857143,263.489795918367,262.387755102041,268.285714285714,262.959183673469,261.775510204082,261.69387755102,263.142857142857,266.428571428571,262.857142857143,266.897959183673,262.857142857143,263.34693877551,268.571428571429,264.734693877551,264.938775510204,262.102040816327,265.65306122449,262.979591836735,261.714285714286,261.632653061225,263.857142857143,263.755102040816,262.183673469388,262.959183673469,264.65306122449,263.34693877551,261.632653061225,267.857142857143,263.244897959184,261.591836734694,262.408163265306,262.326530612245,264.959183673469,268,262.734693877551,261.65306122449,261.795918367347,262.959183673469,268.632653061225,261.571428571429,262.244897959184,261.530612244898,262.836734693878,262.897959183673,267.959183673469,264.265306122449,267.918367346939
"9",205.673469387755,205.938775510204,204.918367346939,206.326530612245,205.387755102041,205.897959183673,204.591836734694,205.285714285714,205.102040816327,205.857142857143,204.816326530612,205.285714285714,205.102040816327,205.816326530612,204.469387755102,206.448979591837,203.285714285714,207.448979591837,207.428571428571,203.081632653061,205.204081632653,204.775510204082,205.918367346939,205.65306122449,203.265306122449,203.795918367347,205.265306122449,203.673469387755,204.530612244898,203.428571428571,204.061224489796,204.061224489796,205.102040816327,204.081632653061,205.387755102041,203.102040816327,205.020408163265,203.285714285714,205.285714285714,204.367346938776,203.632653061224,203.959183673469,203.224489795918,204.877551020408,204.673469387755,206.714285714286,205.510204081633,205.510204081633,206.34693877551,205.122448979592
"10",147.612244897959,145.612244897959,147.877551020408,147.632653061224,147.673469387755,145.918367346939,146.877551020408,148.040816326531,146.571428571429,148.081632653061,146.673469387755,145.775510204082,147.489795918367,148.326530612245,147.551020408163,147.755102040816,147.428571428571,148.795918367347,145.65306122449,147.020408163265,147.938775510204,146.551020408163,147.326530612245,146.489795918367,145.816326530612,146.65306122449,145.448979591837,146.816326530612,145.959183673469,144.020408163265,147.877551020408,145.571428571429,145.755102040816,144.632653061224,144.244897959184,144.34693877551,145.795918367347,144.795918367347,148.204081632653,144.938775510204,145.285714285714,145.448979591837,144.857142857143,145.265306122449,148.714285714286,147.836734693878,147.34693877551,144.612244897959,146.30612244898,144.775510204082
