"stand.time","mean.loss"
1,43.803954622
1.25892541179417,43.803954622
1.58489319246111,43.803954622
1.99526231496888,43.803954622
2.51188643150958,43.803954622
3.16227766016838,43.803954622
3.98107170553497,43.803954622
5.01187233627272,43.803954622
6.30957344480193,43.06275066
7.94328234724282,42.357563484
10,38.955298868
12.5892541179417,32.385008282
15.8489319246111,27.521480342
19.9526231496888,17.160738934
25.1188643150958,11.560816156
31.6227766016838,6.569421162
39.8107170553497,3.985591282
50.1187233627273,3.72067072
63.0957344480193,3.492303526
79.4328234724282,3.295496616
100,2.231810916
125.892541179417,2.052995534
158.489319246111,1.783038738
199.526231496888,1.585702766
251.188643150958,1.420223742
316.227766016838,1.232715852
398.107170553497,1.106832002
501.187233627272,0.983362045999999
630.957344480194,0.828347795999999
794.328234724282,0.705707525999999
1000,0.438956452
1258.92541179417,0.309194636
1584.89319246111,0.27972739
1995.26231496888,0.226364722
2511.88643150958,0.186937958
3162.27766016838,0.145136182
3981.07170553497,0.1379282
5011.87233627273,0.0804049759999999
6309.57344480194,0.0315530539999997
7943.28234724282,0.0310703259999998
10000,0.0107388399999999
12589.2541179417,0.00487779999999982
15848.9319246111,0
19952.6231496888,0
25118.8643150958,0
31622.7766016838,0
39810.7170553498,0
50118.7233627273,0
63095.7344480194,0
79432.8234724282,0
1e+05,0
125892.541179417,0
158489.319246111,0
199526.231496888,0
251188.643150958,0
316227.766016838,0
398107.170553498,0
501187.233627272,0
630957.344480194,0
794328.234724282,0
1e+06,0
