1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
40.64;45.42;86.55;54.1;39.53;34.12;37.84;34.65;39.9;40.5;84.53;39.82;70.92;41.14;76.62;36.48;54.58;31.38;24.96;49.68;37.73;40.83;33.21;352.42;82.79;38.77;37.05;32.51;24.62;21.91;22.28;13.61;12.63;13.06;178.84;20.19;130.08;69.89;119.96;71.56;76.08;75.85;79.46;50.05;39.97;65.58;11.31;15.82;7.61;14.3
29.69;35.4;84.96;36.78;34.73;26;27.33;27.07;30.77;21.8;57.89;38.83;50.81;30.94;58.28;26.82;58;30.54;20.87;36.59;24.68;35.92;26.67;192.47;54.34;35.37;35.11;27.91;24.63;19.89;18.44;10.55;8.64;12.8;98.1;18.95;82.48;44.72;75.51;50.13;62.55;78.31;56.17;36.31;45.65;25.1;7.15;16.41;5.29;13.83
35.17;43;91.57;53.9;35.86;26.04;30.46;33.17;30.67;25.12;63.56;38.56;49.28;32.42;65.31;26.64;60.11;29.69;24.3;41.73;26.57;34.98;30.75;256.81;76.48;46.28;30.24;27.05;23.97;19.42;18.26;12.2;11.01;11.92;131.32;17.88;109.42;48.79;93.16;68.58;68.19;60.92;60.1;42.54;40.94;34.05;9.78;12.97;6.76;11.37
45.13;54.15;173.49;77.83;54.69;31.7;47.08;44.21;46.19;35.02;108.37;54.55;95.27;46.56;112.09;33.79;122.62;34.77;32.2;71.7;32.63;47.99;36.41;424.23;123.07;57.33;39.83;42.34;35.85;30.62;30.42;14.86;13.91;15.13;150.77;27.5;201.74;103.13;167.89;111.39;93.6;121.55;105.33;67.29;57.44;59.11;10.7;17.38;7.06;15.33
46.47;62.17;156.04;75.57;59.32;47.23;47.33;41.1;52.53;42.17;111.59;57.79;92;53.78;122.56;40.73;101.44;47.37;39.2;87.57;43.33;61.17;46.61;1948.19;236.65;104.83;62.83;53.72;43.15;34.11;25.56;11.47;9.49;10.21;535.95;21.71;415.13;129.68;383.37;285.08;267.22;276.38;208.83;106.68;101.26;136.51;6.66;11.59;3.74;9.08
47.54;61.08;111.29;72.11;52.94;40.8;45.86;47.28;46.25;37.23;81.32;56.63;67.35;47.96;83.08;39.64;79.09;42.94;36.14;58.43;38.83;52.91;43.66;278.21;93.07;59.48;44.25;40.24;35.85;31.45;28.31;18.63;16.96;18.03;139.71;26.45;126.49;67.9;119.78;94.67;93.16;92.44;85.83;60.57;57.49;54.94;14.99;20.79;9.59;17.45
29.58;41.13;85.43;60.22;33.29;23.9;30.27;30.3;28.24;21.61;42.72;41.25;36.32;28.47;43.48;25.23;51.03;26.8;19.81;30.43;22.54;34.57;24.66;96.93;35.56;25.95;21.75;20.44;18.29;16.57;16.51;12.65;11.08;12.89;52.09;16.15;50.49;28.93;47.12;40.5;39.19;39.3;36.31;26.9;25.71;23;10.22;14.55;6.52;11.86
27.48;35.3;104.54;47.83;31.13;28.32;27.22;26.07;27;21.48;65.48;38.64;54.33;31.48;75.68;22.45;81.09;31.53;25.02;62.84;23.48;32.79;28.61;1631.3;424.23;275.68;34.88;26.69;24.33;21.02;17.5;10.33;8.91;10.45;558.19;21.85;419.33;85.47;457.56;437.06;306.58;209.2;295.77;44.19;54.38;31.08;6.92;12.7;4.44;10.27
43;41.06;93.28;59.11;39.62;29.54;37.84;33.4;70.92;54.33;106.97;31.95;93.55;42.85;75.7;42.17;41.83;19.19;15.34;24.01;45.29;62.97;20.02;1954.39;80.21;26.02;22.46;35.46;22.95;21.32;16.1;11.47;10.4;11.08;318.75;16.02;181.84;75.98;147.44;83.83;108.24;45.93;87.39;48.01;43.79;289.57;10.78;16.61;6.84;12.32
33.98;42.5;85.39;45.04;37.02;34.04;33.11;28.55;33.53;28.89;70.55;40.8;59.74;38.44;78.86;28.32;72.15;39.73;32.69;67.14;31.12;37.3;37.84;320.8;123.85;70.03;42.36;32.11;29.41;24.54;20.25;11.1;10.87;10.91;182.17;21.53;143.59;80.31;149.95;127.98;109.05;101.56;97.91;57.85;57.7;49.6;6.37;10.48;5.13;9.58
