w_id;repr;stop;stem;spar;info;algo
w130;tf_idf;smart;none;0.99;none;J48
w131;tf_idf;smart;none;0.99;none;JRip
w132;tf_idf;smart;none;0.99;none;knn
w133;tf_idf;smart;none;0.99;none;C5.0Tree
w134;tf_idf;smart;none;0.99;none;lda
w135;tf_idf;smart;none;0.99;none;svmLinear2
w136;tf_idf;smart;none;0.99;none;ranger
w137;tf_idf;smart;none;0.99;>0;nnet
w138;tf_idf;smart;none;0.99;>0;J48
w139;tf_idf;smart;none;0.99;>0;JRip
w140;tf_idf;smart;none;0.99;>0;knn
w141;tf_idf;smart;none;0.99;>0;C5.0Tree
w142;tf_idf;smart;none;0.99;>0;lda
w143;tf_idf;smart;none;0.99;>0;svmLinear2
w144;tf_idf;smart;none;0.99;>0;ranger
w145;tf_idf;smart;none;0.98;none;nnet
w146;tf_idf;smart;none;0.98;none;J48
w147;tf_idf;smart;none;0.98;none;JRip
w148;tf_idf;smart;none;0.98;none;knn
w149;tf_idf;smart;none;0.98;none;C5.0Tree
w150;tf_idf;smart;none;0.98;none;lda
w151;tf_idf;smart;none;0.98;none;svmLinear2
w152;tf_idf;smart;none;0.98;none;ranger
w153;tf_idf;smart;none;0.98;>0;nnet
w154;tf_idf;smart;none;0.98;>0;J48
w155;tf_idf;smart;none;0.98;>0;JRip
w156;tf_idf;smart;none;0.98;>0;knn
w157;tf_idf;smart;none;0.98;>0;C5.0Tree
w158;tf_idf;smart;none;0.98;>0;lda
w159;tf_idf;smart;none;0.98;>0;svmLinear2
w160;tf_idf;smart;none;0.98;>0;ranger
w161;tf_idf;smart;simple;0.99;none;nnet
w162;tf_idf;smart;simple;0.99;none;J48
w163;tf_idf;smart;simple;0.99;none;JRip
w164;tf_idf;smart;simple;0.99;none;knn
w165;tf_idf;smart;simple;0.99;none;C5.0Tree
w166;tf_idf;smart;simple;0.99;none;lda
w167;tf_idf;smart;simple;0.99;none;svmLinear2
w168;tf_idf;smart;simple;0.99;none;ranger
w169;tf_idf;smart;simple;0.99;>0;nnet
w170;tf_idf;smart;simple;0.99;>0;J48
w171;tf_idf;smart;simple;0.99;>0;JRip
w172;tf_idf;smart;simple;0.99;>0;knn
w173;tf_idf;smart;simple;0.99;>0;C5.0Tree
w174;tf_idf;smart;simple;0.99;>0;lda
w175;tf_idf;smart;simple;0.99;>0;svmLinear2
w176;tf_idf;smart;simple;0.99;>0;ranger
w177;tf_idf;smart;simple;0.98;none;nnet
w178;tf_idf;smart;simple;0.98;none;J48
w179;tf_idf;smart;simple;0.98;none;JRip
w180;tf_idf;smart;simple;0.98;none;knn
w181;tf_idf;smart;simple;0.98;none;C5.0Tree
w182;tf_idf;smart;simple;0.98;none;lda
w183;tf_idf;smart;simple;0.98;none;svmLinear2
w184;tf_idf;smart;simple;0.98;none;ranger
