"workflow";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
1;55.07;76.33;152.89;64.7;64.46;37.88;51.96;44.44;39.66;38.93;112.78;76.68;94.13;53.82;115.27;41.55;126.01;49.17;35.28;65.8;46.84;45.79;39.83;399.42;131.91;81.92;62.93;54.43;45.48;41.27;37.11;23.48;16.7;29.96;195.63;43.49;226.17;100.04;187.99;167.36;126.83;151.52;133.75;73.02;73.4;52.14;15.54;42.14;14.79;31.74
2;34.45;36.61;72.2;48.45;31.84;24.1500000000002;29.6700000000001;29.0500000000001;46.19;34.1499999999999;68.47;33.5599999999999;56.6300000000001;31.7000000000001;57.03;29.58;40.9999999999999;20.32;16.43;27.4699999999999;29.22;41.4600000000002;22.01;315.88;68;29.36;25.0600000000001;26.21;20.72;19.6400000000001;18.07;13.16;11.7999999999999;11.9600000000001;143.63;17.71;94.45;48.7499999999999;91.54;51.1;60.22;44.66;58.13;34.9699999999999;30.87;54.46;12.2299999999999;17.2199999999999;7.62999999999987;14.01
3;80.2499999999999;106.689999999999;262.65;127.249999999999;104.71;86.6099999999993;80.9300000000003;69.1300000000001;88.7800000000007;74.9500000000007;210.629999999999;95.899999999999;174.510000000001;95.0699999999997;235.88;68.2599999999988;175.649999999999;75.8499999999995;59.5099999999994;136.540000000001;72.6900000000012;104.090000000001;77.979999999999;3669.97;452.039999999999;188.2;104.96;89.4999999999997;73.9299999999996;57.6099999999995;41.9900000000007;17.7499999999995;14.7699999999992;15.2400000000006;1032.4;36.3699999999997;771.970000000001;228.590000000001;684.809999999999;508.230000000001;500.92;515.379999999999;372.35;188.419999999999;177.85;331.04;9.21000000000058;17.2900000000016;4.80999999999869;12.5700000000002
4;78.4299999999999;95.8199999999989;171.92;109.619999999999;87.5399999999999;70.3099999999993;76.5300000000003;76.5900000000001;75.2700000000007;64.2500000000007;135.789999999999;86.939999999999;114.360000000001;81.0499999999997;141.68;64.6199999999988;124.419999999999;65.9599999999995;54.1599999999993;85.9100000000008;63.6400000000012;83.7000000000011;70.579999999999;448.58;165.639999999999;101.89;70.8999999999996;65.1599999999997;60.3099999999996;51.8099999999995;46.5100000000007;29.7899999999995;27.7699999999992;28.1900000000006;226.879999999999;43.6799999999997;203.470000000001;113.300000000001;201.809999999999;154.300000000001;153.81;150.799999999999;143.93;99.8599999999994;95.8000000000004;84.5900000000001;22.2700000000006;31.3300000000016;14.0799999999987;25.3400000000002
5;72.0499999999999;93.7199999999989;184.49;99.1899999999991;79.0499999999999;62.0599999999993;70.2900000000003;65.6600000000001;66.6100000000007;48.7900000000007;116.479999999999;87.809999999999;100.680000000001;72.0099999999997;118.19;56.2799999999988;120.929999999999;50.3399999999995;35.8999999999994;50.7000000000008;46.7200000000012;78.6900000000011;53.229999999999;170.43;73.1699999999994;54.4599999999996;47.4199999999996;46.4299999999997;43.2799999999996;40.1599999999995;36.4100000000007;20.3599999999995;18.4999999999992;18.9700000000006;104.369999999999;32.5499999999997;90.7300000000011;61.8300000000012;85.9599999999993;76.5900000000008;76.7700000000004;77.5299999999987;71.59;53.6499999999994;52.5200000000004;31.1700000000001;14.1000000000006;21.7800000000016;9.13999999999869;16.9600000000002
6;49.0499999999999;61.6299999999989;178.65;78.0399999999991;59.1199999999999;54.4299999999993;50.7400000000003;45.3500000000001;46.8300000000007;40.7600000000007;124.409999999999;67.829999999999;103.070000000001;58.2499999999997;145.35;37.6799999999988;145.969999999999;52.1999999999995;40.8099999999993;101.240000000001;35.9700000000012;56.7700000000011;51.289999999999;1196.48;262.619999999999;111.46;59.9499999999996;47.7599999999997;43.9799999999996;38.1099999999995;32.4500000000007;18.7699999999995;16.5099999999992;18.5000000000006;408.789999999999;41.7799999999997;229.210000000001;142.440000000001;237.609999999999;307.200000000001;169.19;169.709999999999;152.64;80.5099999999994;81.5000000000004;49.3500000000001;12.2800000000006;23.9000000000016;6.99999999999869;18.1800000000002
7;46.0499999999999;56.1299999999989;108.95;57.4599999999991;49.7999999999999;49.4599999999993;45.0500000000003;38.2700000000001;44.4400000000007;41.7800000000007;96.5599999999994;52.719999999999;82.2300000000014;53.9899999999997;108.19;37.4899999999988;93.5999999999991;53.9099999999995;44.8399999999993;88.4800000000008;44.0800000000012;49.1300000000011;53.329999999999;449.45;176.369999999999;99.7899999999996;57.8399999999996;43.0699999999997;41.5999999999996;35.6299999999995;29.4000000000007;15.2699999999995;15.1699999999992;15.0500000000006;263.259999999999;30.9099999999997;192.320000000001;106.910000000001;201.059999999999;174.160000000001;150.02;140.109999999999;131.97;81.0399999999994;79.1500000000004;66.5000000000001;7.95000000000058;14.1000000000016;6.20999999999869;12.4000000000002
8;33.7600000000006;39.2699999999995;66.5299999999989;47.3899999999998;33.1000000000006;29.3999999999991;30.9299999999991;29.8200000000006;33.8399999999995;36.5499999999999;66.27;34.7299999999992;59.0600000000011;32.0500000000004;55.4900000000009;30.9000000000001;44.8300000000006;26.9399999999999;19.8499999999993;33.17;30.1699999999994;33.5500000000012;25.7699999999999;202.65;43.0300000000007;27.6799999999991;24.3899999999986;24.7699999999996;19.199999999999;17.6299999999994;16.9999999999994;11.8799999999988;10.9200000000005;11.6400000000007;71.9100000000008;15.7800000000005;58.0600000000001;36.4099999999988;59.4599999999993;43.7900000000001;45.2399999999999;44.3099999999999;42.7100000000011;30.5400000000001;27.8999999999987;36.6099999999988;10.4299999999996;15.8199999999992;6.76999999999862;12.0799999999993
9;37.9900000000006;38.9499999999995;74.4399999999989;51.2599999999998;35.8300000000006;28.6599999999991;34.0999999999991;34.0900000000006;35.7699999999995;36.9099999999999;73.88;35.5499999999992;60.1200000000011;36.3000000000004;62.4900000000009;33.8400000000001;46.0300000000006;27.3299999999999;20.3599999999993;35.35;33.6399999999994;36.5800000000012;26.8499999999999;306.54;53.7400000000007;29.5999999999991;26.7099999999986;26.1599999999996;20.169999999999;18.1099999999994;18.6499999999994;12.0499999999988;11.1800000000005;11.7700000000007;153.590000000001;16.3900000000005;93.0900000000001;48.4699999999988;86.5299999999993;46.8100000000001;50.5799999999999;50.8099999999999;55.5800000000011;37.3600000000001;29.6599999999987;53.7199999999988;11.4399999999996;15.6499999999992;7.18999999999862;13.3199999999993
10;43.2200000000006;44.0299999999995;108.369999999999;58.3699999999998;42.9700000000006;30.8999999999991;40.7299999999991;38.3000000000006;44.1499999999995;45.7799999999999;107.5;38.3599999999992;89.5500000000011;44.3800000000004;86.9500000000009;37.9800000000001;54.2800000000006;28.3399999999999;22.1499999999993;45.45;37.5799999999994;40.3100000000012;29.3999999999999;405.29;69.2600000000007;31.9899999999991;27.8999999999986;32.5899999999996;22.129999999999;19.2399999999994;23.1699999999994;12.3399999999988;11.4400000000005;11.8800000000007;130.160000000001;16.9900000000005;141.37;70.2799999999988;98.8599999999993;54.7100000000001;59.6199999999999;65.8799999999999;71.9400000000011;46.0600000000001;33.3199999999987;82.0299999999988;11.7299999999996;17.4799999999992;7.23999999999862;14.6399999999993
