"data";"workflow";"time"
"n10";"w323";99.1699999999951
"n10";"w328";57.6499999999951
"n10";"w321";73.679999999995
"n10";"w325";43.2999999999951
"n10";"w335";30.9600000000029
"n10";"w332";36.3200000000029
"n10";"w330";31.9100000000029
"n10";"w334";30.4400000000029
"n10";"w331";37.0400000000029
"n10";"w336";38.3900000000029
"n10";"w329";33.7100000000029
"n10";"w333";31.9700000000029
"n10";"w343";22.8599999999983
"n10";"w340";45.1399999999983
"n10";"w338";28.9099999999982
"n10";"w342";23.6299999999983
"n10";"w339";37.0899999999983
"n10";"w344";33.7899999999983
"n10";"w337";32.4699999999983
"n10";"w341";32.2499999999983
"n10";"w351";19.0999999999997
"n10";"w348";24.1999999999997
"n10";"w346";20.3199999999997
"n10";"w350";18.5599999999997
"n10";"w347";23.4499999999997
"n10";"w352";26.7399999999997
"n10";"w345";21.1199999999997
"n10";"w349";20.1499999999997
"n10";"w359";50.7100000000017
"n10";"w356";99.5400000000017
"n10";"w354";72.5500000000017
"n10";"w358";78.1500000000017
"n10";"w355";99.3900000000017
"n10";"w360";59.3600000000017
"n10";"w353";72.4600000000017
"n10";"w357";47.9700000000017
"n10";"w367";37.049999999998
"n10";"w364";42.009999999998
"n10";"w362";37.989999999998
"n10";"w366";36.759999999998
"n10";"w363";42.319999999998
"n10";"w368";43.799999999998
"n10";"w361";39.479999999998
"n10";"w365";37.989999999998
"n10";"w375";32.6699999999939
"n10";"w372";57.8599999999939
"n10";"w370";38.7699999999939
"n10";"w374";34.1099999999939
"n10";"w371";50.2099999999939
"n10";"w376";43.1399999999939
"n10";"w369";42.1899999999939
"n10";"w373";32.5499999999939
"n10";"w383";26.4500000000015
"n10";"w380";28.3100000000015
"n10";"w378";26.6200000000015
"n10";"w382";26.0300000000015
"n10";"w379";29.4900000000015
"n10";"w384";31.9200000000015
"n10";"w377";26.0100000000015
"n10";"w381";26.9100000000015
"n10";"w39";62.3399999999997
"n10";"w36";111.91
"n10";"w34";90.5399999999997
"n10";"w38";92.4299999999997
"n10";"w35";110.53
"n10";"w40";53.7099999999997
"n10";"w33";77.3199999999997
"n10";"w37";98.6399999999997
"n10";"w47";37.59
"n10";"w44";44.74
"n10";"w42";40.23
"n10";"w46";37.86
"n10";"w43";43.87
"n10";"w48";47.45
"n10";"w41";40.73
"n10";"w45";47.58
"n10";"w55";36.9700000000003
"n10";"w52";65.9200000000003
"n10";"w50";45.8500000000003
"n10";"w54";44.9000000000003
"n10";"w51";53.9100000000003
"n10";"w56";42.0900000000003
"n10";"w49";35.5000000000003
"n10";"w53";63.5800000000003
"n10";"w63";25.7499999999994
"n10";"w60";30.2899999999994
"n10";"w58";26.8399999999994
"n10";"w62";25.7899999999994
"n10";"w59";29.4999999999994
"n10";"w64";32.6599999999994
"n10";"w57";27.0299999999994
"n10";"w61";32.8399999999994
"n10";"w71";57.7899999999997
"n10";"w68";110.09
"n10";"w66";87.0199999999997
"n10";"w70";90.9899999999997
"n10";"w67";124.03
"n10";"w72";54.6799999999997
"n10";"w65";72.8599999999997
"n10";"w69";97.0899999999997
"n11";"w4";301.72
"n11";"w3";360.03
"n11";"w8";101.55
"n11";"w6";219.15
"n11";"w2";232.99
"n11";"w5";192.39
"n11";"w1";152.89
"n11";"w7";203.11
"n11";"w76";91.2199999999993
"n11";"w75";108.379999999999
"n11";"w80";82.7099999999993
"n11";"w78";58.5499999999993
"n11";"w74";69.5599999999993
"n11";"w77";77.2699999999993
"n11";"w73";60.9699999999993
"n11";"w79";69.1099999999993
"n11";"w84";144.77
"n11";"w83";157.73
"n11";"w88";74.6599999999997
"n11";"w86";68.6299999999997
"n11";"w82";83.7599999999997
"n11";"w85";99.3099999999997
"n11";"w81";69.8199999999997
"n11";"w87";93.6599999999997
"n11";"w92";69.6400000000008
"n11";"w91";72.3400000000008
"n11";"w96";58.3600000000008
"n11";"w94";34.5600000000008
"n11";"w90";46.3400000000008
"n11";"w93";55.2600000000008
"n11";"w89";36.6100000000008
"n11";"w95";46.6800000000008
"n11";"w100";262.65
"n11";"w99";334.92
"n11";"w104";108.95
"n11";"w102";184.49
"n11";"w98";181.65
"n11";"w101";171.92
"n11";"w97";149.57
"n11";"w103";178.65
"n11";"w108";95.7799999999989
"n11";"w107";108.369999999999
"n11";"w112";86.5499999999989
"n11";"w110";64.9799999999989
"n11";"w106";74.4399999999989
"n11";"w109";82.4899999999989
"n11";"w105";66.5299999999989
"n11";"w111";75.3299999999989
"n11";"w116";156.039999999998
"n11";"w115";173.489999999998
"n11";"w120";85.3899999999985
"n11";"w118";85.4299999999985
"n11";"w114";91.5699999999985
"n11";"w117";111.289999999998
"n11";"w113";84.9599999999985
"n11";"w119";104.539999999998
"n11";"w124";82.6699999999993
"n11";"w123";86.6399999999993
"n11";"w128";69.6799999999993
"n11";"w126";48.5799999999993
"n11";"w122";58.6699999999993
"n11";"w125";68.7499999999993
"n11";"w121";50.3599999999993
"n11";"w127";59.4599999999993
"n11";"w132";258.6
"n11";"w131";370.05
"n11";"w136";108.61
"n11";"w134";188.86
"n11";"w130";180.37
"n11";"w133";163.64
"n11";"w129";158.9
"n11";"w135";169.88
"n11";"w140";88.0799999999997
"n11";"w139";103.71
"n11";"w144";79.1399999999997
"n11";"w142";56.6299999999997
"n11";"w138";65.8999999999997
"n11";"w141";74.4099999999997
"n11";"w137";58.2599999999997
"n11";"w143";66.4999999999997
"n11";"w148";123.899999999999
"n11";"w147";141.139999999999
"n11";"w152";73.299999999999
"n11";"w150";51.149999999999
"n11";"w146";70.009999999999
"n11";"w149";87.279999999999
"n11";"w145";60.039999999999
"n11";"w151";80.849999999999
"n11";"w12";93.28
"n11";"w11";104.84
"n11";"w16";83.32
"n11";"w14";59.86
"n11";"w10";72.2
"n11";"w13";80.14
"n11";"w9";61.86
"n11";"w15";70.36
"n11";"w156";67.0900000000001
"n11";"w155";70.2900000000001
"n11";"w160";57.6400000000001
"n11";"w158";33.9200000000001
"n11";"w154";44.5900000000001
"n11";"w157";53.2100000000001
"n11";"w153";35.5900000000001
"n11";"w159";45.6400000000001
"n11";"w164";244.62
"n11";"w163";321.4
"n11";"w168";111.82
"n11";"w166";172.84
"n11";"w162";162.4
"n11";"w165";161.27
"n11";"w161";137.04
"n11";"w167";166.77
"n11";"w172";93.6400000000013
"n11";"w171";108.100000000001
"n11";"w176";85.9000000000013
"n11";"w174";64.4200000000013
"n11";"w170";73.3900000000013
"n11";"w173";81.0100000000013
"n11";"w169";66.8600000000013
"n11";"w175";74.0100000000013
"n11";"w180";141.410000000002
"n11";"w179";163.880000000002
"n11";"w184";89.9500000000017
"n11";"w182";74.5500000000017
"n11";"w178";83.8300000000017
"n11";"w181";102.880000000002
"n11";"w177";76.9900000000017
"n11";"w183";95.2600000000017
"n11";"w188";82.1699999999994
"n11";"w187";90.4699999999994
"n11";"w192";71.6399999999994
"n11";"w190";49.2899999999994
"n11";"w186";59.1499999999994
"n11";"w189";68.6999999999994
"n11";"w185";50.7299999999994
"n11";"w191";60.3899999999994
"n11";"w196";298.550000000001
"n11";"w195";432.300000000001
"n11";"w200";97.4700000000006
"n11";"w198";211.920000000001
"n11";"w194";214.460000000001
"n11";"w197";87.1400000000006
"n11";"w193";230.920000000001
"n11";"w199";161.330000000001
